household_id,parcel_id,occupant_name,household_size,is_synthetic
SYN-HH-0001,P0001,Shirin Molla,4,True
SYN-HH-0002,P0002,Parvin Mia,5,True
SYN-HH-0003,P0003,Karim Akter,7,True
SYN-HH-0004,P0004,Anwar Hossain,6,True
SYN-HH-0005,P0005,Shirin Akter,1,True
SYN-HH-0006,P0006,Rekha Akter,3,True
SYN-HH-0007,P0006,Salma Khan,6,True
SYN-HH-0008,P0007,Belal Chowdhury,4,True
SYN-HH-0009,P0008,Belal Talukder,2,True
SYN-HH-0010,P0009,Karim Akter,7,True
SYN-HH-0011,P0010,Karim Chowdhury,6,True
SYN-HH-0012,P0011,Fatema Molla,2,True
SYN-HH-0013,P0012,Anwar Islam,1,True
SYN-HH-0014,P0012,Ruma Talukder,7,True
SYN-HH-0015,P0013,Rina Hossain,6,True
SYN-HH-0016,P0014,Nurjahan Talukder,4,True
SYN-HH-0017,P0015,Rahim Akter,2,True
SYN-HH-0018,P0016,Rina Khan,6,True
SYN-HH-0019,P0016,Nurjahan Khan,3,True
SYN-HH-0020,P0017,Sultan Islam,1,True
SYN-HH-0021,P0018,Shirin Begum,4,True
SYN-HH-0022,P0019,Amina Molla,4,True
SYN-HH-0023,P0020,Jasim Akter,5,True
SYN-HH-0024,P0021,Belal Begum,6,True
SYN-HH-0025,P0021,Kamal Hossain,1,True
SYN-HH-0026,P0022,Shirin Chowdhury,4,True
SYN-HH-0027,P0023,Habib Chowdhury,3,True
SYN-HH-0028,P0024,Fatema Sheikh,5,True
SYN-HH-0029,P0024,Kamal Begum,6,True
SYN-HH-0030,P0025,Salma Chowdhury,1,True
SYN-HH-0031,P0026,Shirin Hossain,6,True
SYN-HH-0032,P0027,Rina Talukder,5,True
SYN-HH-0033,P0028,Shirin Akter,4,True
SYN-HH-0034,P0029,Shafiq Akter,1,True
SYN-HH-0035,P0030,Jasim Begum,4,True
SYN-HH-0036,P0031,Rina Talukder,6,True
SYN-HH-0037,P0031,Momtaz Mia,6,True
SYN-HH-0038,P0032,Kamal Akter,4,True
SYN-HH-0039,P0033,Momtaz Hossain,3,True
SYN-HH-0040,P0034,Rahim Islam,4,True
SYN-HH-0041,P0035,Jasim Sheikh,3,True
SYN-HH-0042,P0035,Ruma Chowdhury,1,True
SYN-HH-0043,P0036,Habib Mia,6,True
SYN-HH-0044,P0037,Sultan Sheikh,4,True
SYN-HH-0045,P0038,Rina Begum,4,True
SYN-HH-0046,P0039,Shirin Khan,5,True
SYN-HH-0047,P0040,Belal Talukder,6,True
SYN-HH-0048,P0041,Hasan Begum,3,True
SYN-HH-0049,P0042,Amina Mia,6,True
SYN-HH-0050,P0043,Rina Talukder,6,True
SYN-HH-0051,P0043,Salma Khan,4,True
SYN-HH-0052,P0044,Salma Talukder,5,True
SYN-HH-0053,P0044,Rekha Talukder,2,True
SYN-HH-0054,P0045,Jasim Islam,5,True
SYN-HH-0055,P0046,Kamal Islam,7,True
SYN-HH-0056,P0047,Hasan Begum,3,True
SYN-HH-0057,P0048,Ruma Islam,7,True
SYN-HH-0058,P0049,Rina Talukder,2,True
SYN-HH-0059,P0050,Ruma Sheikh,6,True
SYN-HH-0060,P0050,Fatema Hossain,6,True
SYN-HH-0061,P0051,Belal Hossain,2,True
SYN-HH-0062,P0052,Karim Talukder,7,True
SYN-HH-0063,P0053,Rekha Hossain,2,True
SYN-HH-0064,P0054,Anwar Islam,6,True
SYN-HH-0065,P0055,Shafiq Begum,4,True
SYN-HH-0066,P0056,Rahim Hossain,4,True
SYN-HH-0067,P0056,Anwar Molla,4,True
SYN-HH-0068,P0057,Hasan Molla,1,True
